Unique.ID,GBS,GH.Pos,Tube.No,Pod.Produced,Medic.spp,Range,Site.ID,Origin,Community,changed from MSU shipment name,MSU.Genotype,Generation.Received,WSU.Genotype,Planted,Flowered,flowertime,flowertime140,Lat,Long,Lat.Group,growthstage_13days,growthstage_26days,growthstagedifference,leafcount_13days,leafcount_26days,leafdifference,Seedling.Notes 4.22.16,NonPoly,Status
W0928,no,30,573,Field,Mlup,Invaded,BHI,"Berkeley, CA, USA",,,BHI18,F0,ML-BHI18-F0,4/9/16,5/31/16,52,52,37.880417,-122.258565,,4,7,3,0,4,4,slightly hairy,yes,1
W0037,yes,1,914,Field,Mpol,Native,BOL,"Bolsera 1, Italy",,,BOL09,F0,MP-BOL09-F0,4/9/16,NA,NA,140,42.64472,11.98583,4,4,7,3,0,4,4,,no,0
W0055,no,2,922,Field,Mpol,Native,BOL,"Bolsera 1, Italy",,,BOL17,F0,MP-BOL17-F0,4/9/16,NA,NA,140,42.64472,11.98583,4,3,6,3,0,2,2,hairy,yes,0
W0215,no,10,907,Field,Mpol,Native,BOL,"Bolsera 1, Italy",,,BOL02,F0,MP-BOL02-F0,4/9/16,NA,NA,140,42.64472,11.98583,4,4,7,3,0,2,2,hairy,yes,0
W0277,no,11,912,Field,Mpol,Native,BOL,"Bolsera 1, Italy",,,BOL07,F0,MP-BOL07-F0,4/9/16,NA,NA,140,42.64472,11.98583,4,4,7,3,0,3,3,hairy,yes,0
W0319,no,12,916,Field,Mpol,Native,BOL,"Bolsera 1, Italy",,,BOL11,F0,MP-BOL11-F0,4/9/16,7/2/16,84,84,42.64472,11.98583,4,4,6,2,0,2,2,hairy,yes,1
W0371,no,14,915,Field,Mpol,Native,BOL,"Bolsera 1, Italy",,,BOL10,F0,MP-BOL10-F0,4/9/16,NA,NA,140,42.64472,11.98583,4,3,7,4,0,2,2,hariy,yes,0
W0377,no,15,908,Field,Mpol,Native,BOL,"Bolsera 1, Italy",,,BOL03,F0,MP-BOL03-F0,4/9/16,NA,NA,140,42.64472,11.98583,4,0,0,0,0,0,0,,no,0
W0473,no,17,910,Field,Mpol,Native,BOL,"Bolsera 1, Italy",,,BOL05,F0,MP-BOL05-F0,4/9/16,7/15/16,97,97,42.64472,11.98583,4,4,7,3,0,3,3,hairy,yes,1
W0504,no,19,923,Field,Mpol,Native,BOL,"Bolsera 1, Italy",,,BOL18,F0,MP-BOL18-F0,4/9/16,6/20/16,72,72,42.64472,11.98583,4,4,7,3,0,3,3,,no,1
