Well,Sample,Time,Weight,Replicate,Hour,PCheck,Plate,fileName,Absorbance,Protein,Range,Genotype,Site
G06,W0143,0,0.0153,3,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.4045,249286.634,Invasive,PI368951,Chile3
G07,W0144,0,0.0061,1,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.3527,543916.9344,Native,AZN19,AZN
G08,W0144,0,0.0061,2,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.3219,495550.8361,Native,AZN19,AZN
G09,W0144,0,0.0061,3,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.3171,488013.2623,Native,AZN19,AZN
G10,W0604,0,0.0038,1,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.2793,688103.8684,Native,MUSs2-02,MUS
G11,W0604,0,0.0038,2,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.2807,691632.9737,Native,MUSs2-02,MUS
G12,W0604,0,0.0038,3,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.2853,703228.6053,Native,MUSs2-02,MUS
H01,W0145,0,0.02,1,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.3441,161775.695,Native,SAN20-03,SAN
H02,W0145,0,0.02,2,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.3332,156555.14,Native,SAN20-03,SAN
H03,W0145,0,0.02,3,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.3316,155788.82,Native,SAN20-03,SAN
H04,W0605,0,0.026,1,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.2568,92279.50769,Native,LDSc3-09,LDS
H05,W0605,0,0.026,2,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.2795,100642.7115,Native,LDSc3-09,LDS
H06,W0605,0,0.026,3,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.2834,102079.5615,Native,LDSc3-09,LDS
