"Sample","Site","Replicate","Genotype","Range","PPOHr0","PPOHr4","PPOHr24"
"W0601","DEB",1,"DEB28-03","Native",0.324884621448825,0.438598042960598,0.511665607015716
"W0601","DEB",2,"DEB28-03","Native",0.347927115595979,0.445435676438202,0.628048278348589
"W0601","DEB",3,"DEB28-03","Native",0.334165430523298,0.447137804508733,0.577462781560483
"W0603","ARC",1,"ARC27","Invasive",0.616774201775371,0.842443481922403,0.743578034186838
"W0603","ARC",2,"ARC27","Invasive",0.627300614762359,0.842443481922403,0.754447706423743
"W0603","ARC",3,"ARC27","Invasive",0.60077386042893,0.766649642552874,0.738098568422214
"W0604","MUS",1,"MUSs2-02","Native",1.12458777507137,0.753479105169551,0.461886194725769
"W0604","MUS",2,"MUSs2-02","Native",1.12458777507137,0.748784260865342,0.531505829003529
"W0604","MUS",3,"MUSs2-02","Native",1.17459819564603,0.803717979683177,0.688159639048906
"W0605","LDS",1,"LDSc3-09","Native",0.253448900809538,0.601579987034455,0.773189888233483
"W0605","LDS",2,"LDSc3-09","Native",0.274129106047078,0.626383964400263,0.687316260249152
"W0605","LDS",3,"LDSc3-09","Native",0.274129106047078,0.576145089886633,0.68536504011789
"W0606","LIS",1,"LIS21","Native",0.406065528420408,0.496184073773042,0.128913868643639
"W0606","LIS",2,"LIS21","Native",0.353064831714632,0.490860192520293,0.146044908573823
"W0606","LIS",3,"LIS21","Native",0.387894222856313,0.520660820199597,0.150282203049338
"W0607","MEL",1,"MEL30","Invasive",0.392042087776024,0.432247640904736,0.427688244892874
"W0607","MEL",2,"MEL30","Invasive",0.328275469417035,0.436467056447444,0.375044511407453
"W0607","MEL",3,"MEL30","Invasive",1.03977178864518,0.384619591915481,0.319474660252641
"W0609","CDC",1,"CDCc2-04","Native",0.161810463297402,0.652139156832568,1.12938394733486
"W0609","CDC",2,"CDCc2-04","Native",1.51254007069501,0.627020096737237,1.11923157587085
"W0609","CDC",3,"CDCc2-04","Native",0.156979536027736,0.628608659422374,1.11923157587085
"W0610","BHI",1,"BHI33-22","Invasive",0.359214090457408,1.28883902496918,0.913878185468772
"W0610","BHI",2,"BHI33-22","Invasive",0.382606970032114,1.27296567581289,0.861821823512717
"W0610","BHI",3,"BHI33-22","Invasive",0.444251133143321,1.27029544725701,0.782415045908309
"W0611","SAN",1,"SAN27-01","Native",0.58525821854876,1.25514109090033,1.28983409493233
"W0611","SAN",2,"SAN27-01","Native",0.54654370636807,1.32619043705019,1.14356367653038
"W0611","SAN",3,"SAN27-01","Native",0.553101106914229,1.23110147171419,1.31174420456807
"W0613","HIG",1,"HIG12-01","Native",0.712691776632917,0.780977893932978,0.929758948925023
"W0613","HIG",2,"HIG12-01","Native",0.706219262127296,0.748938540188363,0.924729600520021
"W0613","HIG",3,"HIG12-01","Native",0.679901953809924,0.80471788123605,0.952900477486716
"W0747","CRG",1,"CRG18","Native",1.11671233031173,1.10651746817522,0.542808669619041
"W0747","CRG",2,"CRG18","Native",1.10770326036936,1.25615855749651,0.46216045178471
"W0747","CRG",3,"CRG18","Native",1.08017858697927,1.16389458075852,0.849081982180705
"W0748","LIS",1,"LIS17","Native",0.976354972616807,1.355657391658,0.515576226524589
"W0748","LIS",2,"LIS17","Native",0.872488109215761,1.19705236148136,0.559615787935423
"W0748","LIS",3,"LIS17","Native",1.00290520471093,1.30084915516301,0.552789822865023
"W0749","HIG",1,"HIG10-01","Native",0.711342224151176,0.870393575181853,0.864342057889143
"W0749","HIG",2,"HIG10-01","Native",0.736001007814429,0.97261806318133,0.688989170411282
"W0749","HIG",3,"HIG10-01","Native",0.722376818874886,0.74770616481038,0.772870654391984
"W0750","CDC",1,"CDCc2-01","Native",0.323948250436176,0.482600836990391,0.713214743610754
"W0750","CDC",2,"CDCc2-01","Native",0.321204764490425,0.434901780403294,0.701557659068541
"W0750","CDC",3,"CDCc2-01","Native",0.369471505460259,0.475296202611504,0.701557659068541
"W0751","SAN",1,"SAN20-02","Native",0.291520848758946,1.2095750598746,0.627943986749183
"W0751","SAN",2,"SAN20-02","Native",0.310496750217952,1.21292140990195,0.544793618417013
"W0751","SAN",3,"SAN20-02","Native",0.818310323513953,1.21514610492406,0.544793618417013
"W0752","CAM",1,"CAM19","Native",0.451985123743057,0.888316879831749,0.780158557549574
"W0752","CAM",2,"CAM19","Native",0.483566695793356,0.822358912039953,0.901638455087283
"W0752","CAM",3,"CAM19","Native",0.451985123743057,0.805166511499578,0.85634769590712
"W0753","DEB",1,"DEB26","Native",0.240808387494015,0.838878121527372,0.93847278740013
"W0753","DEB",2,"DEB26","Native",0.252413933614323,0.810177487539461,0.771751039064383
"W0753","DEB",3,"DEB26","Native",0.271462128585018,0.837902035554319,0.826386474453019
