"Well","Sample","Time","Weight","Replicate","Hour","PCheck","Plate","fileName","Absorbance","Protein","Range","Genotype","Site"
"D04","W0132",0,0.0376,1,"0hr","Plate2.csv","Plate2","Plate2_0hr_17Feb2017",0.1996,49237.9893617021,"Native","CDCc2-04","CDC"
"D05","W0132",0,0.0376,2,"0hr","Plate2.csv","Plate2","Plate2_0hr_17Feb2017",0.2143,52982.9707446809,"Native","CDCc2-04","CDC"
"D06","W0132",0,0.0376,3,"0hr","Plate2.csv","Plate2","Plate2_0hr_17Feb2017",0.2104,51989.4042553191,"Native","CDCc2-04","CDC"
"D07","W0520",0,0.0239,1,"0hr","Plate2.csv","Plate2","Plate2_0hr_17Feb2017",0.1933,74937.2677824268,"Native","PI458758","Chi"
"D08","W0520",0,0.0239,2,"0hr","Plate2.csv","Plate2","Plate2_0hr_17Feb2017",0.1941,75257.9037656904,"Native","PI458758","Chi"
"D09","W0520",0,0.0239,3,"0hr","Plate2.csv","Plate2","Plate2_0hr_17Feb2017",0.1886,73053.5313807531,"Native","PI458758","Chi"
"D10","W0134",0,0.043,1,"0hr","Plate2.csv","Plate2","Plate2_0hr_17Feb2017",0.2052,44302.111627907,"Native","NARc2-01","NAR"
"D11","W0134",0,0.043,2,"0hr","Plate2.csv","Plate2","Plate2_0hr_17Feb2017",0.2051,44279.8348837209,"Native","NARc2-01","NAR"
"D12","W0134",0,0.043,3,"0hr","Plate2.csv","Plate2","Plate2_0hr_17Feb2017",0.2126,45950.5906976744,"Native","NARc2-01","NAR"
"E01","W0135",0,0.0274,1,"0hr","Plate2.csv","Plate2","Plate2_0hr_17Feb2017",0.2467,84033.5510948905,"Native","HUE19","HUE"
"E02","W0135",0,0.0274,2,"0hr","Plate2.csv","Plate2","Plate2_0hr_17Feb2017",0.2384,81131.8832116788,"Native","HUE19","HUE"
"E03","W0135",0,0.0274,3,"0hr","Plate2.csv","Plate2","Plate2_0hr_17Feb2017",0.2257,76691.9817518248,"Native","HUE19","HUE"
"E04","W0522",0,0.0231,1,"0hr","Plate2.csv","Plate2","Plate2_0hr_17Feb2017",0.1826,73095.4718614719,"Native","W65319","Gre"
"E05","W0522",0,0.0231,2,"0hr","Plate2.csv","Plate2","Plate2_0hr_17Feb2017",0.1917,76869.0173160173,"Native","W65319","Gre"
"E06","W0522",0,0.0231,3,"0hr","Plate2.csv","Plate2","Plate2_0hr_17Feb2017",0.1928,77325.1601731602,"Native","W65319","Gre"
"E07","W0137",0,0.0302,1,"0hr","Plate2.csv","Plate2","Plate2_0hr_17Feb2017",0.2142,65933.8344370861,"Native","FUSF5","FUS"
"E08","W0137",0,0.0302,2,"0hr","Plate2.csv","Plate2","Plate2_0hr_17Feb2017",0.2209,68058.976821192,"Native","FUSF5","FUS"
"E09","W0137",0,0.0302,3,"0hr","Plate2.csv","Plate2","Plate2_0hr_17Feb2017",0.2282,70374.4304635762,"Native","FUSF5","FUS"
"E10","W0138",0,0.0204,1,"0hr","Plate2.csv","Plate2","Plate2_0hr_17Feb2017",0.249,113948.578431373,"Native","LDSc3-04","LDS"
"E11","W0138",0,0.0204,2,"0hr","Plate2.csv","Plate2","Plate2_0hr_17Feb2017",0.2394,109440.81372549,"Native","LDSc3-04","LDS"
"E12","W0138",0,0.0204,3,"0hr","Plate2.csv","Plate2","Plate2_0hr_17Feb2017",0.2612,119677.196078431,"Native","LDSc3-04","LDS"
"F01","W0600",0,0.019,1,"0hr","Plate2.csv","Plate2","Plate2_0hr_17Feb2017",0.3861,191464.836842105,"Native","NARc3-03","NAR"
"F02","W0600",0,0.019,2,"0hr","Plate2.csv","Plate2","Plate2_0hr_17Feb2017",0.3695,183095.815789474,"Native","NARc3-03","NAR"
"F03","W0600",0,0.019,3,"0hr","Plate2.csv","Plate2","Plate2_0hr_17Feb2017",0.3573,176945.089473684,"Native","NARc3-03","NAR"
"F04","W0140",0,0.0544,1,"0hr","Plate2.csv","Plate2","Plate2_0hr_17Feb2017",0.241,41322.0404411765,"Native","HIG10-02","HIG"
"F05","W0140",0,0.0544,2,"0hr","Plate2.csv","Plate2","Plate2_0hr_17Feb2017",0.2478,42519.4154411765,"Native","HIG10-02","HIG"
"F06","W0140",0,0.0544,3,"0hr","Plate2.csv","Plate2","Plate2_0hr_17Feb2017",0.2537,43558.3143382353,"Native","HIG10-02","HIG"
"F07","W0601",0,0.031,1,"0hr","Plate2.csv","Plate2","Plate2_0hr_17Feb2017",0.3895,118400.016129032,"Native","DEB28-03","DEB"
"F08","W0601",0,0.031,2,"0hr","Plate2.csv","Plate2","Plate2_0hr_17Feb2017",0.3997,121551.816129032,"Native","DEB28-03","DEB"
"F09","W0601",0,0.031,3,"0hr","Plate2.csv","Plate2","Plate2_0hr_17Feb2017",0.3907,118770.816129032,"Native","DEB28-03","DEB"
"F10","W0142",0,8e-04,1,"0hr","Plate2.csv","Plate2","Plate2_0hr_17Feb2017",0.386,4546092.5,"Native","CAM20","CAM"
"F11","W0142",0,8e-04,2,"0hr","Plate2.csv","Plate2","Plate2_0hr_17Feb2017",0.3968,4675409,"Native","CAM20","CAM"
"F12","W0142",0,8e-04,3,"0hr","Plate2.csv","Plate2","Plate2_0hr_17Feb2017",0.4211,4966371.125,"Native","CAM20","CAM"
"G01","W0603",0,0.0102,1,"0hr","Plate2.csv","Plate2","Plate2_0hr_17Feb2017",0.298,273913.921568627,"Invasive","ARC27","ARC"
"G02","W0603",0,0.0102,2,"0hr","Plate2.csv","Plate2","Plate2_0hr_17Feb2017",0.308,283305.098039216,"Invasive","ARC27","ARC"
"G03","W0603",0,0.0102,3,"0hr","Plate2.csv","Plate2","Plate2_0hr_17Feb2017",0.3068,282178.156862745,"Invasive","ARC27","ARC"
"G04","W0143",0,0.0153,1,"0hr","Plate2.csv","Plate2","Plate2_0hr_17Feb2017",0.4053,249787.496732026,"Native","PI368951","Chile3"
"G05","W0143",0,0.0153,2,"0hr","Plate2.csv","Plate2","Plate2_0hr_17Feb2017",0.3966,244340.614379085,"Native","PI368951","Chile3"
