"Sample","Site","Replicate","Genotype","Range","0hr","4hr","24hr"
"W0601","DEB",1,"DEB28-03","Native",11.6818241374118,10.7342340125137,11.1040220577805
"W0601","DEB",2,"DEB28-03","Native",11.7080959208091,10.8528975656656,11.0991638932871
"W0601","DEB",3,"DEB28-03","Native",11.6849510000085,10.8023489748103,11.1046276721965
"W0603","ARC",1,"ARC27","Invasive",12.5205691812687,11.3818018895117,12.1109902271363
"W0603","ARC",2,"ARC27","Invasive",12.5542796807149,11.4323323986688,12.1236241342722
"W0603","ARC",3,"ARC27","Invasive",12.5502939124994,11.4416743555108,12.1152192892171
"W0604","MUS",1,"MUSs2-02","Native",13.4416950770321,11.2838331603564,11.2772194422022
"W0604","MUS",2,"MUSs2-02","Native",13.4468107090694,11.2826339149747,11.2826339149747
"W0604","MUS",3,"MUSs2-02","Native",13.46343730328,11.2741986856565,11.2808323462295
"W0605","LDS",1,"LDSc3-09","Native",11.4325773773146,11.2121762773581,11.0872764557963
"W0605","LDS",2,"LDSc3-09","Native",11.5193320141389,11.191475165334,11.0257534065296
"W0605","LDS",3,"LDSc3-09","Native",11.5335078029189,11.1931251349317,11.0419387169416
"W0606","LIS",1,"LIS21","Native",10.8841947372228,10.6872459938884,10.6176904291402
"W0606","LIS",2,"LIS21","Native",10.8938575329086,10.7518752880079,10.6393472049774
"W0606","LIS",3,"LIS21","Native",10.8992919540756,10.761957120294,10.6527873962411
"W0607","MEL",1,"MEL30","Invasive",11.8292712092995,10.9551255679814,11.4842572508433
"W0607","MEL",2,"MEL30","Invasive",11.8486301006326,10.9659674530622,11.4908808307137
"W0607","MEL",3,"MEL30","Invasive",11.8152103240961,10.9627272119923,11.5137238541727
"W0609","CDC",1,"CDCc2-04","Native",10.9955790994697,10.9044032249242,11.7278042570569
"W0609","CDC",2,"CDCc2-04","Native",10.9706897616809,10.8938696917125,11.7239333763819
"W0609","CDC",3,"CDCc2-04","Native",11.5230691404974,10.9194824220818,11.7137004451764
"W0610","BHI",1,"BHI33-22","Invasive",12.4872654774558,12.0821170270583,11.7223659178152
"W0610","BHI",2,"BHI33-22","Invasive",12.3884782383763,12.0670299851597,11.6450384800477
"W0610","BHI",3,"BHI33-22","Invasive",12.360700729382,12.0908564731597,11.6230563794609
"W0611","SAN",1,"SAN27-01","Native",12.3154480622257,11.9649734350111,12.3661028054335
"W0611","SAN",2,"SAN27-01","Native",12.333338355951,12.2472164281111,12.2556062661245
"W0611","SAN",3,"SAN27-01","Native",12.4054344577328,12.0677036178238,12.2333562357105
"W0613","HIG",1,"HIG12-01","Native",12.1791903215082,10.6981600594833,11.233824155843
"W0613","HIG",2,"HIG12-01","Native",12.1321373408532,10.7108477609623,11.1729887679906
"W0613","HIG",3,"HIG12-01","Native",12.1300995948907,10.7178275408666,11.1245040721522
