"Sample","Time","Weight","Hour","meanSubAbs","seSubAbs","meanAbs","seAbs","PIse","PI_g","PIse2","PIse1","PI","Range","Genotype","Site"
"W0421",4,0.0551,"4hr",0.180366666666667,0.0103376872547866,0.235233333333333,0.015738311359369,6.66948115612562,423.309596963486,0.0157555633133943,0.000675498239991636,23.3243587926881,"Native","PI459130","Tur"
"W0421",24,0.0551,"24hr",0.0813,0.00780000000000002,0.0392666666666667,0.00335675107474144,553.300775580038,-1942.75572427351,0.2848020307787,0.00266056139775819,-107.04584040747,"Native","PI459130","Tur"
"W0423",0,0.0528,"0hr",0.1702,0.0277760688363202,0.1891,0.0446578473880385,4.88821797865079,189.293783952695,0.0258234469013118,0.00258371101007305,9.99471179270227,"Native","HIG13-02","HIG"
"W0423",4,0.0528,"4hr",0.193133333333333,0.00294750365186844,0.235233333333333,0.015738311359369,3.41794279891971,338.960670900589,0.0100835969843892,0.000563419983522046,17.8971234235511,"Native","HIG13-02","HIG"
"W0423",24,0.0528,"24hr",0.0593666666666667,0.000982061324177083,0.0392666666666667,0.00335675107474144,65.3290786657816,-969.478314554715,0.0673858070727322,0.00131642588278074,-51.188455008489,"Native","HIG13-02","HIG"
"W0424",0,0.0202,"0hr",0.216733333333333,0.0144178515890699,0.1891,0.0446578473880385,29.7271552725651,-723.41977719718,0.0410925388129975,0.00281203827124409,-14.613079499383,"Native","LDSc3-13","LDS"
"W0424",4,0.0202,"4hr",0.178033333333333,0.00382288430958149,0.235233333333333,0.015738311359369,15.5665928195955,1203.77632208452,0.012931466198504,0.000531802779503745,24.3162817061074,"Native","LDSc3-13","LDS"
"W0424",24,0.0202,"24hr",0.0744666666666667,0.0139743018112216,0.0392666666666667,0.00335675107474144,1555.74568648731,-4437.7952226462,0.350567254331225,0.00391068395456613,-89.6434634974533,"Native","LDSc3-13","LDS"
"W0425",0,0.0049,"0hr",0.1734,0.0403344765678197,0.1891,0.0446578473880385,42.7596791544333,1694.3847872306,0.0252361089858002,0.00303958484663363,8.30248545742994,"Native","NARc3-05","NAR"
"W0425",4,0.0049,"4hr",0.1936,0.00379868398264451,0.235233333333333,0.015738311359369,36.6834999470312,3611.98751854433,0.0101560428320126,0.000573828617017718,17.6987388408672,"Native","NARc3-05","NAR"
"W0425",24,0.0049,"24hr",0.0567,0.00376873099774093,0.0392666666666667,0.00335675107474144,628.995871690397,-9060.67010845086,0.0694204583283232,0.00156361950116185,-44.3972835314092,"Native","NARc3-05","NAR"
"W0426",0,0.0241,"0hr",0.1842,0.022118845660055,0.1891,0.0446578473880385,0.719002632107871,107.51956746414,0.00668717935781944,0.00258070533992583,2.59122157588577,"Native","DEB32","DEB"
"W0426",4,0.0241,"4hr",0.193133333333333,0.00226003933102452,0.235233333333333,0.015738311359369,7.41157177671372,742.619229192991,0.00998031223183908,0.000557648958195474,17.8971234235511,"Native","DEB32","DEB"
"W0426",24,0.0241,"24hr",0.0620333333333333,0.00778381511713747,0.0392666666666667,0.00335675107474144,334.575842309814,-2405.79363010659,0.13907088210845,0.00239861638541368,-57.9796264855688,"Native","DEB32","DEB"
"W0478",0,0.0012,"0hr",0.1441,0.0156353232564387,0.1891,0.0446578473880385,934.605061851168,19830.7773664728,0.0471290179189482,0.00198046606410513,23.7969328397673,"Native","SAN31-01","SAN"
"W0478",4,0.0012,"4hr",0.1638,0.00542862781925599,0.235233333333333,0.015738311359369,399.528331303161,25305.8428983043,0.015787987497936,0.000519905869215747,30.3670114779651,"Native","SAN31-01","SAN"
"W0478",24,0.0012,"24hr",0.0561666666666667,0.00247812653250618,0.0392666666666667,0.00335675107474144,2124.10314276345,-35865.8743633277,0.0592235148443869,0.00137604142971771,-43.0390492359932,"Native","SAN31-01","SAN"
"W0480",0,0.0115,"0hr",0.163866666666667,0.018165932706886,0.1891,0.0446578473880385,35.0039195741429,1160.33997808076,0.0301669512689206,0.00226072806537103,13.3439097479288,"Native","HIG15-02","HIG"
"W0480",4,0.0115,"4hr",0.1687,0.00165227116418583,0.235233333333333,0.015738311359369,33.7336012517904,2459.4759443291,0.013715767917784,0.000484930732443895,28.2839733597846,"Native","HIG15-02","HIG"
"W0480",24,0.0115,"24hr",0.0481333333333333,0.00117236702633793,0.0392666666666667,0.00335675107474144,48.3104084840689,-1963.53436185133,0.0246038008922437,0.00108959689665651,-22.5806451612903,"Native","HIG15-02","HIG"
"W0513",0,0.0055,"0hr",0.146166666666667,0.0115305873416945,0.1891,0.0446578473880385,180.37538397959,4128.00666634617,0.0436955166400557,0.00192457038741487,22.7040366649039,"Native","CDCc2-06-02","CDC"
"W0514",0,0.0169,"0hr",0.161833333333333,0.0311081089821359,0.1891,0.0446578473880385,32.0597723228236,853.205832256396,0.0375756600702529,0.00260595011709713,14.4191785651331,"Native","HIG13-01","HIG"
"W0514",4,0.0169,"4hr",0.167733333333333,0.00491675141169904,0.235233333333333,0.015738311359369,25.3765636936587,1697.92383742526,0.0149456431050169,0.000520846436504219,28.6949128524869,"Native","HIG13-01","HIG"
"W0514",24,0.0169,"24hr",0.0724333333333333,0.00328447526673254,0.0392666666666667,0.00335675107474144,753.55380578052,-4997.94054711124,0.150772863077786,0.00178502947442847,-84.4651952461799,"Native","HIG13-01","HIG"
"W0515",0,0.0181,"0hr",0.138233333333333,0.0245528228745925,0.1891,0.0446578473880385,86.3540766655844,1486.15181147882,0.0581058247203268,0.00216012020732906,26.8993477877666,"Native","NARc3-05","NAR"
"W0515",4,0.0181,"4hr",0.1622,0.00166433169770933,0.235233333333333,0.015738311359369,24.8556786051672,1715.3142093936,0.0144904522267989,0.000466723511476585,31.0471871900241,"Native","NARc3-05","NAR"
"W0515",24,0.0181,"24hr",0.0588333333333333,0.00254580264575067,0.0392666666666667,0.00335675107474144,196.940188887043,-2753.05086812558,0.0715352524601659,0.0014355796831018,-49.830220713073,"Native","NARc3-05","NAR"
"W0516",0,0.004,"0hr",0.172666666666667,0.00306449198254966,0.1891,0.0446578473880385,40.8276600029684,2172.57183148246,0.0187923176630296,0.0021624506714476,8.69028732592986,"Native","DEB31","DEB"
"W0516",4,0.004,"4hr",0.165633333333333,0.0036671211839504,0.235233333333333,0.015738311359369,108.600961347712,7396.91086864107,0.0146819345638085,0.000496218449314158,29.5876434745643,"Native","DEB31","DEB"
"W0516",24,0.004,"24hr",0.0595666666666667,0.00828941761792976,0.0392666666666667,0.00335675107474144,1655.41450783608,-12924.4482173175,0.128083959949484,0.00247755180329216,-51.69779286927,"Native","DEB31","DEB"
"W0517",0,0.0181,"0hr",0.166666666666667,0.00441751564167514,0.1891,0.0446578473880385,16.2857457916234,655.426061025717,0.0248475713128295,0.00209450627128799,11.8632117045655,"Invasive","ARC29-01","ARC"
"W0517",4,0.0181,"4hr",0.1686,0.00276465790529919,0.235233333333333,0.015738311359369,21.8872796658045,1564.99913490543,0.0139854899454159,0.000493724875161582,28.3264843417883,"Invasive","ARC29-01","ARC"
"W0517",24,0.0181,"24hr",0.0633333333333333,0.00213645604786161,0.0392666666666667,0.00335675107474144,307.63390596446,-3386.20566743896,0.0908491498087677,0.00148227560214305,-61.2903225806452,"Invasive","ARC29-01","ARC"
"W0518",0,0.0121,"0hr",0.2102,0.0636689092100689,0.1891,0.0446578473880385,43.929895946367,-922.158462661323,0.0476381204804938,0.00426936899661676,-11.158117398202,"Native","MUSs2-05","MUS"
"W0518",4,0.0121,"4hr",0.166533333333333,0.000825294560209319,0.235233333333333,0.015738311359369,33.4795866546849,2413.64005260588,0.0138709939862569,0.000474951987195609,29.2050446365311,"Native","MUSs2-05","MUS"
"W0518",24,0.0121,"24hr",0.0624333333333333,0.0031487210807635,0.0392666666666667,0.00335675107474144,453.977885578353,-4875.89274439097,0.0931066184957802,0.00157812369191409,-58.9983022071308,"Native","MUSs2-05","MUS"
"W0520",0,0.0239,"0hr",0.144933333333333,0.0207273035176096,0.1891,0.0446578473880385,48.2982430173152,977.248907878249,0.0494226625662625,0.00211603596028986,23.3562488982902,"Native","PI458758","Chi"
"W0520",4,0.0239,"4hr",0.1845,0.00752684086010415,0.235233333333333,0.015738311359369,11.9617300442872,902.394903899686,0.0132555381159565,0.000614614536690571,21.5672382032025,"Native","PI458758","Chi"
"W0520",24,0.0239,"24hr",0.0697666666666667,0.00315506647227035,0.0392666666666667,0.00335675107474144,433.763385695739,-3249.95915351884,0.133467334574371,0.00171830076643289,-77.6740237691002,"Native","PI458758","Chi"
"W0522",0,0.0231,"0hr",0.134266666666667,0.0105214595523203,0.1891,0.0446578473880385,64.307114630989,1255.28153026831,0.0512292366934162,0.00176670796207751,28.997003349198,"Native","W65319","Gre"
"W0522",4,0.0231,"4hr",0.200533333333333,0.00111703973867441,0.235233333333333,0.015738311359369,5.3913341683798,638.584881180885,0.00844262732686378,0.000572330653656847,14.7513107552784,"Native","W65319","Gre"
"W0522",24,0.0231,"24hr",0.0642,0.0026,0.0392666666666667,0.00335675107474144,269.944333673461,-2748.80750262754,0.0982041606825601,0.00154658424176545,-63.4974533106961,"Native","W65319","Gre"
"W0600",0,0.019,"0hr",0.128866666666667,0.00248819434753621,0.1891,0.0446578473880385,86.2261847449103,1676.45448894579,0.0514336567520733,0.00161473787910632,31.85263528997,"Native","NARc3-03","NAR"
"W0600",4,0.019,"4hr",0.2032,0.00492172056636023,0.235233333333333,0.015738311359369,5.99901219439301,716.720240448081,0.0083700889912674,0.000614648470461749,13.6176845685135,"Native","NARc3-03","NAR"
"W0600",24,0.019,"24hr",0.0319333333333333,0.0300205670240328,0.0392666666666667,0.00335675107474144,140.923750489701,982.932713787865,0.143370699248204,0.00767684925974472,18.6757215619694,"Native","NARc3-03","NAR"
"W0601",0,0.031,"0hr",0.158266666666667,0.00292365828676639,0.1891,0.0446578473880385,17.0029785189282,525.977607569529,0.0323264303921543,0.00198257123907774,16.3053058346554,"Native","DEB28-03","DEB"
"W0601",4,0.031,"4hr",0.198766666666667,0.00960838753959847,0.235233333333333,0.015738311359369,5.40689914258944,500.075422710006,0.0108121673192584,0.000697453974149966,15.5023381040102,"Native","DEB28-03","DEB"
"W0601",24,0.031,"24hr",0.0696333333333334,0.00943845561754912,0.0392666666666667,0.00335675107474144,548.249080052902,-2494.66016758859,0.21976904396676,0.00284179949278643,-77.3344651952462,"Native","DEB28-03","DEB"
"W0603",0,0.0102,"0hr",0.127266666666667,0.00518469971272312,0.1891,0.0446578473880385,169.067097425124,3205.75965270649,0.0527385442893036,0.0016128612493435,32.6987484576062,"Invasive","ARC27","ARC"
"W0603",4,0.0102,"4hr",0.207766666666667,0.00117945373419693,0.235233333333333,0.015738311359369,7.9269844926092,1144.7401689881,0.00692470196063472,0.000593053661847078,11.6763497236786,"Invasive","ARC27","ARC"
"W0603",24,0.0102,"24hr",0.0474666666666667,0.00277208305150557,0.0392666666666667,0.00335675107474144,53.5070517005273,-2047.338460002,0.0261349321306039,0.0012515020345468,-20.8828522920204,"Invasive","ARC27","ARC"
"W0604",0,0.0038,"0hr",0.1052,0.0376102379678725,0.1891,0.0446578473880385,1234.81381767046,11675.8050599794,0.10575834482737,0.00238365947638328,44.3680592279217,"Native","MUSs2-02","MUS"
"W0604",4,0.0038,"4hr",0.206433333333333,0.00356946930384771,0.235233333333333,0.015738311359369,23.9212520656563,3221.88495185818,0.00742461398314676,0.000606429408322531,12.2431628170611,"Native","MUSs2-02","MUS"
"W0604",24,0.0038,"24hr",0.0552333333333333,0.00219570287404993,0.0392666666666667,0.00335675107474144,577.006153937925,-10700.5629523724,0.0539229717638356,0.00132612235360748,-40.6621392190153,"Native","MUSs2-02","MUS"
"W0605",0,0.026,"0hr",0.181066666666667,0.0200218491764483,0.1891,0.0446578473880385,1.73313710417042,163.392045993844,0.0106072305639389,0.00249688045598446,4.24819319583994,"Native","LDSc3-09","LDS"
"W0605",4,0.026,"4hr",0.2416,0.0021548395145192,0.235233333333333,0.015738311359369,0.195314989224289,-104.097404650047,0.00187627145826446,0.000693238098480224,-2.70653252090123,"Native","LDSc3-09","LDS"
"W0605",24,0.026,"24hr",0.0713333333333333,0.00570681853380478,0.0392666666666667,0.00335675107474144,545.563013705716,-3140.91680814941,0.173695467606847,0.00212695697339777,-81.6638370118846,"Native","LDSc3-09","LDS"
"W0606",0,0.0555,"0hr",0.187766666666667,0.0185456493849935,0.1891,0.0446578473880385,0.0227687108154659,12.7044019164592,0.00179219068832889,0.00254177444372242,0.705094306363485,"Native","LIS21","LIS"
"W0606",4,0.0555,"4hr",0.220383333333333,0.00500069439622583,0.235233333333333,0.015738311359369,0.475273129981436,113.745600496344,0.00417838692580211,0.000661882750513704,6.31288082754712,"Native","LIS21","LIS"
"W0606",24,0.0555,"24hr",0.0426666666666667,0.00612898396509931,0.0392666666666667,0.00335675107474144,2.45366383908765,-156.01339879778,0.0157272635427168,0.00181634475032552,-8.65874363327677,"Native","LIS21","LIS"
